csvbase_row_id,licenseId,name,isOsiApproved,isFsfLibre,isDeprecatedLicenseId,detailsUrl,referenceNumber,reference,seeAlso
1,0BSD,BSD Zero Clause License,True,,False,https://spdx.org/licenses/0BSD.json,581,https://spdx.org/licenses/0BSD.html,"['http://landley.net/toybox/license.html', 'https://opensource.org/licenses/0BSD']"
2,3D-Slicer-1.0,3D Slicer License v1.0,False,,False,https://spdx.org/licenses/3D-Slicer-1.0.json,462,https://spdx.org/licenses/3D-Slicer-1.0.html,"['https://slicer.org/LICENSE', 'https://github.com/Slicer/Slicer/blob/main/License.txt']"
3,AAL,Attribution Assurance License,True,,False,https://spdx.org/licenses/AAL.json,251,https://spdx.org/licenses/AAL.html,['https://opensource.org/licenses/attribution']
4,Abstyles,Abstyles License,False,,False,https://spdx.org/licenses/Abstyles.json,346,https://spdx.org/licenses/Abstyles.html,['https://fedoraproject.org/wiki/Licensing/Abstyles']
5,AdaCore-doc,AdaCore Doc License,False,,False,https://spdx.org/licenses/AdaCore-doc.json,354,https://spdx.org/licenses/AdaCore-doc.html,"['https://github.com/AdaCore/xmlada/blob/master/docs/index.rst', 'https://github.com/AdaCore/gnatcoll-core/blob/master/docs/index.rst', 'https://github.com/AdaCore/gnatcoll-db/blob/master/docs/index.rst']"
6,Adobe-2006,Adobe Systems Incorporated Source Code License Agreement,False,,False,https://spdx.org/licenses/Adobe-2006.json,127,https://spdx.org/licenses/Adobe-2006.html,['https://fedoraproject.org/wiki/Licensing/AdobeLicense']
7,Adobe-Display-PostScript,Adobe Display PostScript License,False,,False,https://spdx.org/licenses/Adobe-Display-PostScript.json,433,https://spdx.org/licenses/Adobe-Display-PostScript.html,['https://gitlab.freedesktop.org/xorg/xserver/-/blob/master/COPYING?ref_type=heads#L752']
8,Adobe-Glyph,Adobe Glyph List License,False,,False,https://spdx.org/licenses/Adobe-Glyph.json,132,https://spdx.org/licenses/Adobe-Glyph.html,['https://fedoraproject.org/wiki/Licensing/MIT#AdobeGlyph']
9,Adobe-Utopia,Adobe Utopia Font License,False,,False,https://spdx.org/licenses/Adobe-Utopia.json,493,https://spdx.org/licenses/Adobe-Utopia.html,['https://gitlab.freedesktop.org/xorg/font/adobe-utopia-100dpi/-/blob/master/COPYING?ref_type=heads']
10,ADSL,Amazon Digital Services License,False,,False,https://spdx.org/licenses/ADSL.json,564,https://spdx.org/licenses/ADSL.html,['https://fedoraproject.org/wiki/Licensing/AmazonDigitalServicesLicense']
11,AFL-1.1,Academic Free License v1.1,True,True,False,https://spdx.org/licenses/AFL-1.1.json,13,https://spdx.org/licenses/AFL-1.1.html,"['http://opensource.linux-mirror.org/licenses/afl-1.1.txt', 'http://wayback.archive.org/web/20021004124254/http://www.opensource.org/licenses/academic.php']"
12,AFL-1.2,Academic Free License v1.2,True,True,False,https://spdx.org/licenses/AFL-1.2.json,620,https://spdx.org/licenses/AFL-1.2.html,"['http://opensource.linux-mirror.org/licenses/afl-1.2.txt', 'http://wayback.archive.org/web/20021204204652/http://www.opensource.org/licenses/academic.php']"
13,AFL-2.0,Academic Free License v2.0,True,True,False,https://spdx.org/licenses/AFL-2.0.json,558,https://spdx.org/licenses/AFL-2.0.html,['http://wayback.archive.org/web/20060924134533/http://www.opensource.org/licenses/afl-2.0.txt']
14,AFL-2.1,Academic Free License v2.1,True,True,False,https://spdx.org/licenses/AFL-2.1.json,569,https://spdx.org/licenses/AFL-2.1.html,['http://opensource.linux-mirror.org/licenses/afl-2.1.txt']
15,AFL-3.0,Academic Free License v3.0,True,True,False,https://spdx.org/licenses/AFL-3.0.json,333,https://spdx.org/licenses/AFL-3.0.html,"['http://www.rosenlaw.com/AFL3.0.htm', 'https://opensource.org/licenses/afl-3.0']"
16,Afmparse,Afmparse License,False,,False,https://spdx.org/licenses/Afmparse.json,164,https://spdx.org/licenses/Afmparse.html,['https://fedoraproject.org/wiki/Licensing/Afmparse']
17,AGPL-1.0,Affero General Public License v1.0,False,True,True,https://spdx.org/licenses/AGPL-1.0.json,651,https://spdx.org/licenses/AGPL-1.0.html,['http://www.affero.org/oagpl.html']
18,AGPL-1.0-only,Affero General Public License v1.0 only,False,,False,https://spdx.org/licenses/AGPL-1.0-only.json,161,https://spdx.org/licenses/AGPL-1.0-only.html,['http://www.affero.org/oagpl.html']
19,AGPL-1.0-or-later,Affero General Public License v1.0 or later,False,,False,https://spdx.org/licenses/AGPL-1.0-or-later.json,156,https://spdx.org/licenses/AGPL-1.0-or-later.html,['http://www.affero.org/oagpl.html']
20,AGPL-3.0,GNU Affero General Public License v3.0,True,True,True,https://spdx.org/licenses/AGPL-3.0.json,79,https://spdx.org/licenses/AGPL-3.0.html,"['https://www.gnu.org/licenses/agpl.txt', 'https://opensource.org/licenses/AGPL-3.0']"
21,AGPL-3.0-only,GNU Affero General Public License v3.0 only,True,True,False,https://spdx.org/licenses/AGPL-3.0-only.json,328,https://spdx.org/licenses/AGPL-3.0-only.html,"['https://www.gnu.org/licenses/agpl.txt', 'https://opensource.org/licenses/AGPL-3.0']"
22,AGPL-3.0-or-later,GNU Affero General Public License v3.0 or later,True,True,False,https://spdx.org/licenses/AGPL-3.0-or-later.json,371,https://spdx.org/licenses/AGPL-3.0-or-later.html,"['https://www.gnu.org/licenses/agpl.txt', 'https://opensource.org/licenses/AGPL-3.0']"
23,Aladdin,Aladdin Free Public License,False,False,False,https://spdx.org/licenses/Aladdin.json,556,https://spdx.org/licenses/Aladdin.html,['http://pages.cs.wisc.edu/~ghost/doc/AFPL/6.01/Public.htm']
24,AMD-newlib,AMD newlib License,False,,False,https://spdx.org/licenses/AMD-newlib.json,339,https://spdx.org/licenses/AMD-newlib.html,['https://sourceware.org/git/?p=newlib-cygwin.git;a=blob;f=newlib/libc/sys/a29khif/_close.S;h=04f52ae00de1dafbd9055ad8d73c5c697a3aae7f;hb=HEAD']
25,AMDPLPA,AMD's plpa_map.c License,False,,False,https://spdx.org/licenses/AMDPLPA.json,466,https://spdx.org/licenses/AMDPLPA.html,['https://fedoraproject.org/wiki/Licensing/AMD_plpa_map_License']
26,AML,Apple MIT License,False,,False,https://spdx.org/licenses/AML.json,286,https://spdx.org/licenses/AML.html,['https://fedoraproject.org/wiki/Licensing/Apple_MIT_License']
